iter	Passed	Remaining
905	27006	28884
906	27035	28853
907	27065	28823
908	27094	28793
909	27123	28762
910	27153	28732
911	27195	28716
912	27224	28685
913	27253	28654
914	27281	28623
915	27311	28593
916	27340	28562
917	27369	28532
918	27398	28501
919	27426	28470
920	27455	28439
921	27483	28407
922	27513	28377
923	27541	28346
924	27570	28315
925	27602	28287
926	27631	28257
927	27660	28227
928	27689	28195
929	27717	28164
930	27746	28134
931	27775	28103
932	27804	28072
933	27834	28043
934	27863	28012
935	27893	27982
936	27921	27951
937	27951	27921
938	27981	27892
939	28011	27862
940	28040	27831
941	28069	27801
942	28098	27771
943	28127	27739
944	28156	27709
945	28185	27678
946	28220	27654
947	28248	27622
948	28277	27592
949	28305	27561
950	28334	27530
951	28363	27499
952	28393	27469
953	28423	27440
954	28453	27410
955	28480	27378
956	28509	27347
957	28539	27317
958	28568	27287
959	28597	27257
960	28627	27227
961	28658	27198
962	28688	27169
963	28717	27138
964	28746	27107
965	28775	27077
966	28804	27047
967	28833	27016
968	28861	26985
969	28890	26954
970	28919	26923
971	28947	26892
972	28977	26862
973	29006	26832
974	29035	26802
975	29065	26772
976	29094	26742
977	29123	26711
978	29152	26681
979	29182	26651
980	29211	26620
981	29240	26590
982	29269	26559
983	29298	26529
984	29327	26499
985	29356	26468
986	29384	26437
987	29414	26407
988	29443	26376
989	29472	26346
990	29501	26316
991	29531	26286
992	29560	26256
993	29588	26224
994	29617	26194
995	29646	26164
996	29675	26133
997	29706	26104
998	29735	26074
999	29765	26044
1000	29793	26013
1001	29823	25983
1002	29852	25953
1003	29882	25923
1004	29911	25893
1005	29940	25862
1006	29969	25833
1007	29999	25802
1008	30027	25771
1009	30056	25741
1010	30085	25711
1011	30114	25680
1012	30141	25648
1013	30169	25617
1014	30198	25587
1015	30227	25556
1016	30256	25525
1017	30285	25495
1018	30315	25465
1019	30344	25436
1020	30373	25405
1021	30402	25375
1022	30433	25346
1023	30461	25315
1024	30491	25285
1025	30519	25254
1026	30549	25224
1027	30578	25194
1028	30606	25163
1029	30635	25132
1030	30666	25104
1031	30696	25074
1032	30725	25044
1033	30753	25013
1034	30783	24983
1035	30812	24953
1036	30840	24922
1037	30869	24891
1038	30898	24861
1039	30927	24831
1040	30954	24799
1041	30981	24767
1042	31011	24737
1043	31040	24707
1044	31070	24677
1045	31099	24647
1046	31129	24617
1047	31157	24587
1048	31186	24557
1049	31215	24526
1050	31243	24495
1051	31272	24465
1052	31301	24434
1053	31331	24405
1054	31361	24375
1055	31392	24347
1056	31422	24317
1057	31452	24288
1058	31482	24258
1059	31511	24228
1060	31541	24198
1061	31571	24169
1062	31606	24143
1063	31635	24113
1064	31665	24083
1065	31694	24053
1066	31724	24023
1067	31751	23992
1068	31779	23961
1069	31810	23932
1070	31839	23901
1071	31868	23871
1072	31896	23840
1073	31926	23810
